STORE CODE,ZONE,STATE,CITY,FORMAT  Type,FORMATE,STORE NAME,SAP Name of Store,NOC Store name
1973,South,Karnataka,Bellary,Trends,Regular,"Infantry Road, Bellary",RRL Trends Teja Complex Bellar,Bellary Teja Complex
5765,South,Karnataka,Bijapur,Trends,Regular,"Shivling Road, Padmavathi",RRL Trends Bijapur Padmavathi,Bijapur Padmavathi
5888,South,Karnataka,Bidar,Trends,Regular,Udgir Road,RRL Trends Bidar Karnataka,Bidar Udgir Road
8060,South,Karnataka,Hubli,Trends,Regular,Urban Oasis Mall,RRL Trends Urban Oasis Mall Hu,Hubli Urban Oasis
9617,South,Karnataka,Hospet,Trends,Fitch,College Road,RRL Trends Hospet,Hospet College Rd
T9HK,South,Karnataka,Bidar,Trends,Fitch,Trends Gumpa Road,RRL Trends Bidar Mallur,Bidar Gumpa Road
T863,South,Karnataka,Dharwad,Trends,Fitch,Trends Modern Hall Mall Dharwad,Dharwad Modern Hall Mall,Dharwad Modern Hall Mall
TA2L,South,Karnataka,Raichur,Trends,Fitch,Trends Mantralayam Road Raichur,Raichur Mantralayam Road,Raichur Mantralayam Road
TCG4,South,Karnataka,Karwar,Trends,Fitch,"Murlidhar Mutt Road, Konekarwada",RRL Trends KARWAR,Karwar MM Rd
5734,South,Karnataka,Bangalore,Trends,Regular,"MSR Elements , Bangalore",RRL Trends Elements Mall Banga,Bangalore ElementMal
5800,South,Karnataka,Bangalore,Trends,Regular,Vidyaranyapura Bang,RRL Trends Vidyaranyapura Bang,Bangalore Vidyrnyapr
5920,South,Karnataka,Bangalore,Trends,Regular,"Marathahalli, Bangalore",RRL TrendsSriven Square Bangal,Bangalore Marathalli
8312,South,Karnataka,Tumkur,Trends,Regular,Deviprasad Central,RRL TRENDS Tumkur Karnataka,Tumkur Deviprasad
T1BR,South,Karnataka,Raichur,Trends,Fitch,Trends Gandhi Chowk,RRL Trends Bestawarpet,Raichur Gandhi Chowk
T88O,South,Karnataka,Kolar,Trends,Fitch,Trends Soorajmull circle Kolar,RRL Trends Kolar Nahar Towers,Robertsonpete Soorajmull circle
T501,South,Karnataka,Shimoga,Trends,Fitch,Bearys City Centre,RRL Trends Shivamogga,Shimoga City Centre
T536,South,Karnataka,Davangere,Trends,Fitch,"AVK College Road, Davangere",RRL Trends Devanagere,Davangere AVK Rd
T820,South,Karnataka,Tumkur,Trends,Fitch,Sira gate,RRL Trends Tumkur,Tumkur Sira Gate
TA76,South,Karnataka,Bangalore,Trends,Fitch,Kasavanahalli,RRL Trends Eastwood Bangalore,Bangalore Eastwood
TAPQ,South,Karnataka,Shimoga,Trends,Fitch,"Trends Shivamurthy Circle, Savalanga Road",Shimoga Shivamurthy Circle Savalanga Road,Shimoga Shivamurthy Circle Savalanga Road
TCG5,South,Karnataka,Belgaum,Trends,Fitch,Civil Hospital Road,RRL Trends Belgaum,Belgaum Civil Road
TDC8,South,Karnataka,Bangalore,Trends,Fitch,Bhartiya Mall,Bangalore Bhartiya City Mall,Bangalore Bhartiya City Mall
TEW5,South,Karnataka,Bangalore,Trends,Fitch,Brigade Uptown Mall,RRL Trends BLR Orion OMR, BLR Orion OMR
TKH3,South,Karnataka,Kolar,Trends,Fitch,"MG Road, Kolar",RRL Trends Kolar,Kolar MG Road
TML6,South,Karnataka,Hassan,Trends,Fitch,Next to Shirdi Sai mandir,RRL Trends Hassan,Hassan Next to Shirdi Sai mandir
